Subject,Sender,Body,Label
Team meeting scheduled for tomorrow,care@verified-service.com,Automatic bill payment confirmation,0
Team meeting scheduled for tomorrow,security@facebook.com,Thanks for signing up! Here are some useful resources to get started.,0
Your order has been canceled,support@secure-b4nk.com,Click the link below to verify your account immediately!,1
Claim your free gift card today!,help@banking-security.com,Security alert: Your password has been compromised,1
Subscription renewal confirmation,service@trusted-payment.com,We have received your support request,0
Billing confirmation for your service,no-reply@billing.com,Your invoice for this month's subscription is available in your dashboard.,0
Claim your free gift card today!,service@order-cancellation.com,Security alert: Your password has been compromised,1
Your monthly bank statement is ready,contact@customer-support.com,Your feedback is important to us. Participate in our survey!,0
We appreciate your feedback!,support@bank.com,Your monthly statement is attached. Let us know if you have questions.,0
Invoice for your recent purchase,no-reply@billing.com,Your feedback is important to us. Participate in our survey!,0
Your delivery is scheduled,service@trusted-payment.com,We have received your support request,0
New security alert: Immediate action required,admin@paypal-security.com,Suspicious login detected: Secure your account now!,1
Upcoming maintenance alert,team@corporate-mail.com,Your invoice for this month's subscription is available in your dashboard.,0
Important notice: Update your credentials,account@amazon-verification.com,Get exclusive VIP benefits now!,1
Suspicious login detected on your account,help@banking-security.com,Update your billing information to avoid service interruption.,1
Limited-time offer! Claim your bonus now,accounts@secure-login.com,Confirm your email for a security upgrade,1
Claim your free gift card today!,account@amazon-verification.com,Click the link below to verify your account immediately!,1
Meeting rescheduled to next week,updates@official-source.com,We have received your support request,0
Meeting rescheduled to next week,support@subscription.com,Automatic bill payment confirmation,0
Your order has been canceled,info@claim-reward.com,We've detected unauthorized access. Reset your password now!,1
Welcome to our service!,updates@official-source.com,Your subscription has been successfully renewed,0
Your monthly bank statement is ready,newsletter@company.com,Your monthly statement is attached. Let us know if you have questions.,0
Limited-time offer! Claim your bonus now,security@facebook-help.com,We've detected unauthorized access. Reset your password now!,1
Your PayPal account has been suspended,account@amazon-verification.com,Your payment has been declined. Confirm your details.,1
Upcoming maintenance alert,service@trusted-payment.com,Enjoy new features in your latest app update,0
Account activity summary available,contact@customer-support.com,Your order has been shipped. Track your package here.,0
Account activity summary available,support@bank.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Important notice: Update your credentials,verification@secure-portal.com,Your payment has been declined. Confirm your details.,1
Thank you for your recent purchase,updates@official-source.com,Friendly reminder: Your account is in good standing,0
Your PayPal account has been suspended,security@facebook-help.com,Your account has been locked. Click below to restore access.,1
Upcoming maintenance alert,alerts@finance-notice.com,Your order has been shipped. Track your package here.,0
Your delivery is scheduled,service@trusted-payment.com,Enjoy new features in your latest app update,0
Your order has been canceled,security@facebook-help.com,You have won a lucky draw! Claim your prize here.,1
Payment failed: Update your billing details,verification@secure-portal.com,Click the link below to verify your account immediately!,1
Your PayPal account has been suspended,admin@paypal-security.com,Suspicious login detected: Secure your account now!,1
Friendly reminder: Upcoming event,support@subscription.com,Friendly reminder: Your account is in good standing,0
Your order has been canceled,service@order-cancellation.com,Click the link below to verify your account immediately!,1
Confirm your identity to prevent deactivation,help@banking-security.com,Suspicious login detected: Secure your account now!,1
Your order has been canceled,security@facebook-help.com,Your account has been locked. Click below to restore access.,1
Your order has been canceled,security@facebook-help.com,Security alert: Your password has been compromised,1
Suspicious login detected on your account,security@facebook-help.com,Get exclusive VIP benefits now!,1
Welcome to our service!,contact@customer-support.com,Join us for our upcoming webinar. Click here to register.,0
Unauthorized access attempt detected,alerts@fraud-detection.com,Your package delivery failed. Confirm your address.,1
Your monthly bank statement is ready,contact@customer-support.com,Friendly reminder: Your account is in good standing,0
Your PayPal account has been suspended,support@secure-b4nk.com,Your account has been locked. Click below to restore access.,1
Unusual activity detected on your account,support@funds-transfer.com,Your payment has been declined. Confirm your details.,1
Your delivery is scheduled,support@bank.com,Your feedback is important to us. Participate in our survey!,0
Account activity summary available,admin@paypal.com,Enjoy new features in your latest app update,0
Your PayPal account has been suspended,security@facebook-help.com,Click the link below to verify your account immediately!,1
Security update: New features available,newsletter@company.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,lottery@big-win.com,Get exclusive VIP benefits now!,1
Your monthly bank statement is ready,info@officialnews.com,Your invoice for this month's subscription is available in your dashboard.,0
Congratulations! You have won a prize!,urgent@finance-support.com,Confirm your email for a security upgrade,1
Team meeting scheduled for tomorrow,security@facebook.com,Your feedback is important to us. Participate in our survey!,0
Subscription renewal confirmation,support@bank.com,Important: Policy changes you should be aware of.,0
Claim your free gift card today!,security@facebook-help.com,Your account has been locked. Click below to restore access.,1
Suspicious login detected on your account,info@claim-reward.com,Congratulations! You're eligible for a special discount,1
Team meeting scheduled for tomorrow,support@subscription.com,We've updated our security features. No action is required on your part.,0
Unauthorized access attempt detected,urgent@finance-support.com,Suspicious login detected: Secure your account now!,1
Security update: New features available,newsletter@company.com,Automatic bill payment confirmation,0
Meeting rescheduled to next week,security@facebook.com,Your subscription has been successfully renewed,0
Invoice for your recent purchase,updates@official-source.com,Important: Policy changes you should be aware of.,0
Important security notice for your account,support@subscription.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Friendly reminder: Upcoming event,care@verified-service.com,Your monthly statement is attached. Let us know if you have questions.,0
New security alert: Immediate action required,support@secure-b4nk.com,Update your billing information to avoid service interruption.,1
Congratulations! You have won a prize!,alerts@fraud-detection.com,Exclusive offer: Redeem your coupon before it expires!,1
Meeting rescheduled to next week,alerts@finance-notice.com,Friendly reminder: Your account is in good standing,0
Billing confirmation for your service,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Billing confirmation for your service,contact@customer-support.com,We have received your support request,0
Unauthorized access attempt detected,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Claim your free gift card today!,support@funds-transfer.com,Update your billing information to avoid service interruption.,1
Unauthorized access attempt detected,urgent@finance-support.com,Confirm your email for a security upgrade,1
Team meeting scheduled for tomorrow,alerts@finance-notice.com,We've updated our security features. No action is required on your part.,0
Unauthorized access attempt detected,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Security update: New features available,notification@banking-updates.com,Automatic bill payment confirmation,0
Friendly reminder: Upcoming event,contact@customer-support.com,Your order has been shipped. Track your package here.,0
Your monthly bank statement is ready,support@subscription.com,Automatic bill payment confirmation,0
Account activity summary available,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Security update: New features available,info@officialnews.com,Your feedback is important to us. Participate in our survey!,0
Limited-time offer! Claim your bonus now,support@funds-transfer.com,Your loan application has been pre-approved!,1
Your delivery is scheduled,notification@banking-updates.com,Reminder: Your service plan has been renewed successfully.,0
Team meeting scheduled for tomorrow,contact@amazon.com,Your subscription has been successfully renewed,0
Account security breach detected,no-reply@payment-failure.com,Suspicious login detected: Secure your account now!,1
Thank you for your recent purchase,alerts@finance-notice.com,Your order has been shipped. Track your package here.,0
Account activity summary available,updates@official-source.com,Your invoice for this month's subscription is available in your dashboard.,0
Claim your free gift card today!,info@claim-reward.com,Update your billing information to avoid service interruption.,1
Payment failed: Update your billing details,alerts@fraud-detection.com,Exclusive offer: Redeem your coupon before it expires!,1
Unauthorized access attempt detected,accounts@secure-login.com,We've detected unauthorized access. Reset your password now!,1
Account activity summary available,updates@official-source.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Security update: New features available,service@trusted-payment.com,Your monthly statement is attached. Let us know if you have questions.,0
Billing confirmation for your service,no-reply@billing.com,Important: Policy changes you should be aware of.,0
Urgent! Verify your account now,support@funds-transfer.com,You have won a lucky draw! Claim your prize here.,1
Upcoming maintenance alert,security@facebook.com,Your subscription has been successfully renewed,0
Your delivery is scheduled,support@subscription.com,Join us for our upcoming webinar. Click here to register.,0
Unusual activity detected on your account,help@banking-security.com,Your account will be suspended if no action is taken within 24 hours.,1
Meeting rescheduled to next week,support@bank.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Team meeting scheduled for tomorrow,alerts@finance-notice.com,Your monthly statement is attached. Let us know if you have questions.,0
Claim your free gift card today!,info@claim-reward.com,Your loan application has been pre-approved!,1
Confirm your identity to prevent deactivation,support@funds-transfer.com,Congratulations! You're eligible for a special discount,1
Team meeting scheduled for tomorrow,security@facebook.com,Your invoice for this month's subscription is available in your dashboard.,0
Security update: New features available,contact@amazon.com,Your invoice for this month's subscription is available in your dashboard.,0
Limited-time offer! Claim your bonus now,urgent@finance-support.com,Security alert: Your password has been compromised,1
Important notice: Update your credentials,support@funds-transfer.com,Update your billing information to avoid service interruption.,1
Important notice: Update your credentials,lottery@big-win.com,Suspicious login detected: Secure your account now!,1
Congratulations! You have won a prize!,support@funds-transfer.com,Get exclusive VIP benefits now!,1
Unauthorized access attempt detected,accounts@secure-login.com,Exclusive offer: Redeem your coupon before it expires!,1
Thank you for your recent purchase,notification@banking-updates.com,Important: Policy changes you should be aware of.,0
Congratulations! You have won a prize!,alerts@fraud-detection.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,info@claim-reward.com,We've detected unauthorized access. Reset your password now!,1
Confirm your identity to prevent deactivation,urgent@finance-support.com,We've detected unauthorized access. Reset your password now!,1
Security update: New features available,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Account security breach detected,admin@paypal-security.com,You have won a lucky draw! Claim your prize here.,1
Friendly reminder: Upcoming event,admin@paypal.com,Reminder: Your service plan has been renewed successfully.,0
Payment failed: Update your billing details,verification@secure-portal.com,Your account will be suspended if no action is taken within 24 hours.,1
Limited-time offer! Claim your bonus now,service@order-cancellation.com,Congratulations! You're eligible for a special discount,1
Your PayPal account has been suspended,service@order-cancellation.com,Suspicious login detected: Secure your account now!,1
Unusual activity detected on your account,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Limited-time offer! Claim your bonus now,admin@paypal-security.com,Click the link below to verify your account immediately!,1
Team meeting scheduled for tomorrow,no-reply@billing.com,Reminder: Your service plan has been renewed successfully.,0
Invoice for your recent purchase,team@corporate-mail.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Limited-time offer! Claim your bonus now,account@amazon-verification.com,Update your billing information to avoid service interruption.,1
New security alert: Immediate action required,security@facebook-help.com,Security alert: Your password has been compromised,1
Account security breach detected,accounts@secure-login.com,Suspicious login detected: Secure your account now!,1
Friendly reminder: Upcoming event,contact@customer-support.com,Your invoice for this month's subscription is available in your dashboard.,0
Your delivery is scheduled,team@corporate-mail.com,Your invoice for this month's subscription is available in your dashboard.,0
Urgent! Verify your account now,admin@paypal-security.com,Your loan application has been pre-approved!,1
Your order has been canceled,alerts@fraud-detection.com,Suspicious login detected: Secure your account now!,1
Account activity summary available,contact@amazon.com,Your invoice for this month's subscription is available in your dashboard.,0
Invoice for your recent purchase,no-reply@billing.com,We have received your support request,0
Confirm your identity to prevent deactivation,support@secure-b4nk.com,Confirm your email for a security upgrade,1
Your password will expire soon!,security@facebook-help.com,We've detected unauthorized access. Reset your password now!,1
Your order has been canceled,help@banking-security.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,support@secure-b4nk.com,We've detected unauthorized access. Reset your password now!,1
Important security notice for your account,updates@official-source.com,Automatic bill payment confirmation,0
Thank you for your recent purchase,notification@banking-updates.com,Your order has been shipped. Track your package here.,0
Account security breach detected,support@secure-b4nk.com,Suspicious login detected: Secure your account now!,1
Team meeting scheduled for tomorrow,support@subscription.com,Your invoice for this month's subscription is available in your dashboard.,0
Payment failed: Update your billing details,info@claim-reward.com,Get exclusive VIP benefits now!,1
Urgent! Verify your account now,help@banking-security.com,Your account has been locked. Click below to restore access.,1
Claim your free gift card today!,alerts@fraud-detection.com,Your account will be suspended if no action is taken within 24 hours.,1
Friendly reminder: Upcoming event,team@corporate-mail.com,Your subscription has been successfully renewed,0
Upcoming maintenance alert,admin@paypal.com,Enjoy new features in your latest app update,0
We appreciate your feedback!,support@subscription.com,Your order has been shipped. Track your package here.,0
Unauthorized access attempt detected,support@secure-b4nk.com,Suspicious login detected: Secure your account now!,1
Meeting rescheduled to next week,admin@paypal.com,Thanks for signing up! Here are some useful resources to get started.,0
Security update: New features available,info@officialnews.com,Join us for our upcoming webinar. Click here to register.,0
Invoice for your recent purchase,support@bank.com,Join us for our upcoming webinar. Click here to register.,0
Your order has been canceled,urgent@finance-support.com,Your package delivery failed. Confirm your address.,1
Suspicious login detected on your account,service@order-cancellation.com,Update your billing information to avoid service interruption.,1
Team meeting scheduled for tomorrow,support@subscription.com,Your monthly statement is attached. Let us know if you have questions.,0
We appreciate your feedback!,info@officialnews.com,Your feedback is important to us. Participate in our survey!,0
Account security breach detected,admin@paypal-security.com,We've detected unauthorized access. Reset your password now!,1
Thank you for your recent purchase,info@officialnews.com,Your subscription has been successfully renewed,0
Payment failed: Update your billing details,account@amazon-verification.com,We've detected unauthorized access. Reset your password now!,1
Your order has been canceled,help@banking-security.com,Suspicious login detected: Secure your account now!,1
New security alert: Immediate action required,accounts@secure-login.com,Update your billing information to avoid service interruption.,1
Your delivery is scheduled,team@corporate-mail.com,Enjoy new features in your latest app update,0
Limited-time offer! Claim your bonus now,account@amazon-verification.com,Suspicious login detected: Secure your account now!,1
Unusual activity detected on your account,help@banking-security.com,You have won a lucky draw! Claim your prize here.,1
Meeting rescheduled to next week,care@verified-service.com,Your subscription has been successfully renewed,0
Limited-time offer! Claim your bonus now,support@funds-transfer.com,Update your billing information to avoid service interruption.,1
Your password will expire soon!,alerts@fraud-detection.com,Your loan application has been pre-approved!,1
Your PayPal account has been suspended,verification@secure-portal.com,Your account has been locked. Click below to restore access.,1
Claim your free gift card today!,urgent@finance-support.com,Your loan application has been pre-approved!,1
Urgent! Verify your account now,service@banking-alert.com,Your loan application has been pre-approved!,1
Claim your free gift card today!,service@order-cancellation.com,Get exclusive VIP benefits now!,1
Your delivery is scheduled,care@verified-service.com,We've updated our security features. No action is required on your part.,0
Your monthly bank statement is ready,service@trusted-payment.com,Your invoice for this month's subscription is available in your dashboard.,0
Unauthorized access attempt detected,account@amazon-verification.com,Confirm your email for a security upgrade,1
Welcome to our service!,service@trusted-payment.com,We have received your support request,0
Meeting rescheduled to next week,alerts@finance-notice.com,Important: Policy changes you should be aware of.,0
Your delivery is scheduled,newsletter@company.com,Your feedback is important to us. Participate in our survey!,0
Account activity summary available,support@bank.com,Your order has been shipped. Track your package here.,0
Invoice for your recent purchase,service@trusted-payment.com,Your subscription has been successfully renewed,0
Thank you for your recent purchase,care@verified-service.com,We have received your support request,0
New security alert: Immediate action required,verification@secure-portal.com,Suspicious login detected: Secure your account now!,1
Your PayPal account has been suspended,accounts@secure-login.com,Your loan application has been pre-approved!,1
Security update: New features available,support@bank.com,Your feedback is important to us. Participate in our survey!,0
Billing confirmation for your service,admin@paypal.com,Important: Policy changes you should be aware of.,0
Suspicious login detected on your account,urgent@finance-support.com,Confirm your email for a security upgrade,1
Unusual activity detected on your account,lottery@big-win.com,Confirm your email for a security upgrade,1
Welcome to our service!,notification@banking-updates.com,Your feedback is important to us. Participate in our survey!,0
Account activity summary available,contact@amazon.com,Join us for our upcoming webinar. Click here to register.,0
Upcoming maintenance alert,support@bank.com,Your invoice for this month's subscription is available in your dashboard.,0
Team meeting scheduled for tomorrow,contact@customer-support.com,We've updated our security features. No action is required on your part.,0
Upcoming maintenance alert,security@facebook.com,We've updated our security features. No action is required on your part.,0
Billing confirmation for your service,service@trusted-payment.com,Reminder: Your service plan has been renewed successfully.,0
Billing confirmation for your service,notification@banking-updates.com,Your order has been shipped. Track your package here.,0
Thank you for your recent purchase,support@subscription.com,Automatic bill payment confirmation,0
Important notice: Update your credentials,verification@secure-portal.com,We've detected unauthorized access. Reset your password now!,1
Important notice: Update your credentials,info@claim-reward.com,Suspicious login detected: Secure your account now!,1
Welcome to our service!,security@facebook.com,We have received your support request,0
Your order has been canceled,lottery@big-win.com,Click the link below to verify your account immediately!,1
Invoice for your recent purchase,contact@customer-support.com,Your invoice for this month's subscription is available in your dashboard.,0
Suspicious login detected on your account,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Unusual activity detected on your account,service@banking-alert.com,Your payment has been declined. Confirm your details.,1
Claim your free gift card today!,service@order-cancellation.com,Your loan application has been pre-approved!,1
Account activity summary available,support@bank.com,Friendly reminder: Your account is in good standing,0
Important notice: Update your credentials,no-reply@payment-failure.com,Update your billing information to avoid service interruption.,1
Billing confirmation for your service,care@verified-service.com,Friendly reminder: Your account is in good standing,0
Account activity summary available,service@trusted-payment.com,Join us for our upcoming webinar. Click here to register.,0
Upcoming maintenance alert,security@facebook.com,Your order has been shipped. Track your package here.,0
Important security notice for your account,service@trusted-payment.com,Your monthly statement is attached. Let us know if you have questions.,0
Your order has been canceled,admin@paypal-security.com,Exclusive offer: Redeem your coupon before it expires!,1
Your PayPal account has been suspended,support@secure-b4nk.com,You have won a lucky draw! Claim your prize here.,1
Confirm your identity to prevent deactivation,help@banking-security.com,Exclusive offer: Redeem your coupon before it expires!,1
Upcoming maintenance alert,support@subscription.com,Enjoy new features in your latest app update,0
Team meeting scheduled for tomorrow,support@bank.com,Your feedback is important to us. Participate in our survey!,0
Claim your free gift card today!,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Account activity summary available,newsletter@company.com,Your invoice for this month's subscription is available in your dashboard.,0
Welcome to our service!,contact@customer-support.com,Your feedback is important to us. Participate in our survey!,0
Payment failed: Update your billing details,security@facebook-help.com,Security alert: Your password has been compromised,1
Team meeting scheduled for tomorrow,updates@official-source.com,Your order has been shipped. Track your package here.,0
Upcoming maintenance alert,team@corporate-mail.com,Enjoy new features in your latest app update,0
Unauthorized access attempt detected,lottery@big-win.com,Exclusive offer: Redeem your coupon before it expires!,1
Payment failed: Update your billing details,help@banking-security.com,Update your billing information to avoid service interruption.,1
Your PayPal account has been suspended,info@claim-reward.com,Your account will be suspended if no action is taken within 24 hours.,1
Account activity summary available,care@verified-service.com,Your feedback is important to us. Participate in our survey!,0
Limited-time offer! Claim your bonus now,security@facebook-help.com,Your package delivery failed. Confirm your address.,1
Your PayPal account has been suspended,support@secure-b4nk.com,Security alert: Your password has been compromised,1
Confirm your identity to prevent deactivation,info@claim-reward.com,Click the link below to verify your account immediately!,1
Important notice: Update your credentials,lottery@big-win.com,Your account has been locked. Click below to restore access.,1
Security update: New features available,admin@paypal.com,Thanks for signing up! Here are some useful resources to get started.,0
New security alert: Immediate action required,lottery@big-win.com,Your loan application has been pre-approved!,1
Important security notice for your account,notification@banking-updates.com,Your order has been shipped. Track your package here.,0
Suspicious login detected on your account,support@secure-b4nk.com,Security alert: Your password has been compromised,1
Important security notice for your account,admin@paypal.com,Reminder: Your service plan has been renewed successfully.,0
Thank you for your recent purchase,admin@paypal.com,Enjoy new features in your latest app update,0
Team meeting scheduled for tomorrow,info@officialnews.com,Reminder: Your service plan has been renewed successfully.,0
Account security breach detected,service@banking-alert.com,Your account has been locked. Click below to restore access.,1
Account activity summary available,notification@banking-updates.com,Your feedback is important to us. Participate in our survey!,0
Claim your free gift card today!,service@banking-alert.com,Congratulations! You're eligible for a special discount,1
We appreciate your feedback!,notification@banking-updates.com,Enjoy new features in your latest app update,0
Your delivery is scheduled,security@facebook.com,We've updated our security features. No action is required on your part.,0
Suspicious login detected on your account,support@funds-transfer.com,Get exclusive VIP benefits now!,1
Security update: New features available,newsletter@company.com,Join us for our upcoming webinar. Click here to register.,0
Your password will expire soon!,support@funds-transfer.com,Get exclusive VIP benefits now!,1
Meeting rescheduled to next week,newsletter@company.com,Automatic bill payment confirmation,0
Account activity summary available,newsletter@company.com,Important: Policy changes you should be aware of.,0
Congratulations! You have won a prize!,service@order-cancellation.com,Your account will be suspended if no action is taken within 24 hours.,1
Account security breach detected,alerts@fraud-detection.com,Your payment has been declined. Confirm your details.,1
Welcome to our service!,security@facebook.com,Automatic bill payment confirmation,0
Your order has been canceled,verification@secure-portal.com,Exclusive offer: Redeem your coupon before it expires!,1
Meeting rescheduled to next week,team@corporate-mail.com,Important: Policy changes you should be aware of.,0
Payment failed: Update your billing details,alerts@fraud-detection.com,Congratulations! You're eligible for a special discount,1
Team meeting scheduled for tomorrow,alerts@finance-notice.com,Your feedback is important to us. Participate in our survey!,0
Account security breach detected,alerts@fraud-detection.com,Your package delivery failed. Confirm your address.,1
Your order has been canceled,support@funds-transfer.com,Your account will be suspended if no action is taken within 24 hours.,1
Thank you for your recent purchase,updates@official-source.com,Your feedback is important to us. Participate in our survey!,0
Important notice: Update your credentials,account@amazon-verification.com,Your payment has been declined. Confirm your details.,1
Your PayPal account has been suspended,security@facebook-help.com,Security alert: Your password has been compromised,1
Limited-time offer! Claim your bonus now,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Subscription renewal confirmation,newsletter@company.com,Your monthly statement is attached. Let us know if you have questions.,0
Unauthorized access attempt detected,account@amazon-verification.com,Your loan application has been pre-approved!,1
Team meeting scheduled for tomorrow,updates@official-source.com,We have received your support request,0
Welcome to our service!,care@verified-service.com,We have received your support request,0
Meeting rescheduled to next week,newsletter@company.com,Your subscription has been successfully renewed,0
Meeting rescheduled to next week,alerts@finance-notice.com,Your subscription has been successfully renewed,0
Security update: New features available,info@officialnews.com,Automatic bill payment confirmation,0
Unusual activity detected on your account,service@banking-alert.com,Your package delivery failed. Confirm your address.,1
Important notice: Update your credentials,service@order-cancellation.com,Your package delivery failed. Confirm your address.,1
Invoice for your recent purchase,team@corporate-mail.com,Thanks for signing up! Here are some useful resources to get started.,0
Account security breach detected,urgent@finance-support.com,Exclusive offer: Redeem your coupon before it expires!,1
Your delivery is scheduled,team@corporate-mail.com,Important: Policy changes you should be aware of.,0
Your password will expire soon!,security@facebook-help.com,Exclusive offer: Redeem your coupon before it expires!,1
Congratulations! You have won a prize!,admin@paypal-security.com,Confirm your email for a security upgrade,1
Your PayPal account has been suspended,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Congratulations! You have won a prize!,help@banking-security.com,We've detected unauthorized access. Reset your password now!,1
New security alert: Immediate action required,accounts@secure-login.com,Get exclusive VIP benefits now!,1
New security alert: Immediate action required,account@amazon-verification.com,We've detected unauthorized access. Reset your password now!,1
Confirm your identity to prevent deactivation,alerts@fraud-detection.com,We've detected unauthorized access. Reset your password now!,1
New security alert: Immediate action required,service@banking-alert.com,Your account has been locked. Click below to restore access.,1
Thank you for your recent purchase,info@officialnews.com,Your order has been shipped. Track your package here.,0
Important notice: Update your credentials,help@banking-security.com,Your payment has been declined. Confirm your details.,1
Team meeting scheduled for tomorrow,care@verified-service.com,Join us for our upcoming webinar. Click here to register.,0
Congratulations! You have won a prize!,no-reply@payment-failure.com,Your loan application has been pre-approved!,1
Confirm your identity to prevent deactivation,security@facebook-help.com,Get exclusive VIP benefits now!,1
Your password will expire soon!,lottery@big-win.com,Exclusive offer: Redeem your coupon before it expires!,1
Your PayPal account has been suspended,service@banking-alert.com,Update your billing information to avoid service interruption.,1
Security update: New features available,support@subscription.com,Your feedback is important to us. Participate in our survey!,0
Unusual activity detected on your account,service@banking-alert.com,Get exclusive VIP benefits now!,1
Invoice for your recent purchase,contact@amazon.com,Thanks for signing up! Here are some useful resources to get started.,0
Your order has been canceled,service@order-cancellation.com,Your loan application has been pre-approved!,1
Payment failed: Update your billing details,help@banking-security.com,Your payment has been declined. Confirm your details.,1
Account activity summary available,contact@amazon.com,Your monthly statement is attached. Let us know if you have questions.,0
Billing confirmation for your service,no-reply@billing.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Friendly reminder: Upcoming event,support@subscription.com,Automatic bill payment confirmation,0
Unusual activity detected on your account,service@order-cancellation.com,Your account will be suspended if no action is taken within 24 hours.,1
Your password will expire soon!,verification@secure-portal.com,Your payment has been declined. Confirm your details.,1
Upcoming maintenance alert,support@bank.com,Your subscription has been successfully renewed,0
Security update: New features available,contact@amazon.com,Important: Policy changes you should be aware of.,0
Your PayPal account has been suspended,accounts@secure-login.com,Your payment has been declined. Confirm your details.,1
